CDC	CHEFLIEU	REG	DEP	COM	AR	CT	TNCC	ARTMAJ	NCC	ARTMIN	NCCENR
	0	03	973	52	2		0		SAUL		Saül
	0	02	972	29	1		0		SCHOELCHER		Schœlcher
	0	03	973	12	1		0		SINNAMARY		Sinnamary
	0	82	69	296	1		0		SOLAIZE		Solaize
	0	82	69	244	1		0		TASSIN-LA-DEMI-LUNE		Tassin-la-Demi-Lune
	0	82	69	250	1		3	(LA)	TOUR-DE-SALVAGNY	(La)	Tour-de-Salvagny
	0	02	972	31	3		4	(LES)	TROIS-ILETS	(Les)	Trois-Îlets
	0	02	972	32	3		2	(LE)	VAUCLIN	(Le)	Vauclin
	0	82	69	256	1		0		VAULX-EN-VELIN		Vaulx-en-Velin
	0	82	69	259	1		0		VENISSIEUX		Vénissieux
	0	82	69	260	1		0		VERNAISON		Vernaison
	0	82	69	266	1		0		VILLEURBANNE		Villeurbanne
